"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.972980300E-1	-1.802022755E-2	1.249952316E-1	8.830095828E-2	1.540960602E-1
5.053240450E-1	-8.459127694E-2	1.489009857E-1	1.132452413E-1	2.053087245E-1
5.133195430E-1	-1.004121080E-2	1.273279190E-1	4.997049272E-2	1.371505560E-1
5.213455570E-1	3.059694543E-2	1.105537415E-1	-3.693151474E-2	1.205082553E-1
5.293715710E-1	1.880041510E-2	1.320781708E-1	-9.050986171E-2	1.612145585E-1
5.373670680E-1	-7.307693362E-3	1.320419312E-1	-1.064146608E-1	1.697426110E-1
5.453930820E-1	-6.203633547E-2	1.415710449E-1	-8.919006586E-2	1.784537350E-1
5.534496140E-1	-4.505304620E-2	1.439065933E-1	-8.454024792E-4	1.507965493E-1
5.615061460E-1	5.170535296E-3	1.318655014E-1	4.636499286E-2	1.398747921E-1
5.695626770E-1	2.672711387E-2	1.102495193E-1	1.933051646E-2	1.150780778E-1
5.776192090E-1	-1.794338226E-3	1.077890396E-1	-6.262525916E-2	1.246740542E-1
5.856452230E-1	-3.988412023E-2	1.340570450E-1	-9.454998374E-2	1.688245651E-1
5.936712370E-1	3.470595926E-3	1.196126938E-1	-6.466297805E-2	1.360166985E-1
6.017277690E-1	1.328181475E-3	1.243085861E-1	-3.309984505E-2	1.286467582E-1
6.097537840E-1	2.571574971E-2	1.122407913E-1	2.448435128E-2	1.177233132E-1
6.177187640E-1	9.276654571E-3	1.217231750E-1	9.400293976E-2	1.540751127E-1
6.257447780E-1	-9.303249419E-3	1.455707550E-1	2.228066325E-2	1.475595579E-1
6.337402750E-1	-3.521276638E-2	1.454839706E-1	-1.042726636E-1	1.824234442E-1
6.417357730E-1	1.299333572E-2	1.238555908E-1	-1.948457509E-1	2.312442449E-1
6.497617870E-1	-6.058774143E-2	1.046066284E-1	-1.472652853E-1	1.905268626E-1
6.577878010E-1	-5.302037299E-2	1.619691849E-1	-1.407929510E-1	2.210606972E-1
6.657832980E-1	9.201835841E-3	1.235427856E-1	-1.407795101E-1	1.875269691E-1
6.737787960E-1	5.661123991E-2	9.947395325E-2	-2.910542488E-2	1.180975259E-1
6.817742920E-1	1.344940811E-2	9.694957733E-2	1.263830066E-2	9.869059614E-2
6.897697900E-1	4.449877515E-2	1.255578995E-1	5.668613315E-2	1.447696267E-1
6.977958040E-1	-1.029284671E-2	1.182556152E-1	1.172089651E-1	1.668180887E-1
7.057913010E-1	-2.978146076E-4	1.157503128E-1	1.706924736E-1	2.062380764E-1
7.138478330E-1	-1.897197403E-2	1.228342056E-1	6.901048124E-2	1.421640756E-1
7.219043640E-1	-8.869681507E-3	1.275358200E-1	4.924878478E-2	1.370018228E-1
7.299608960E-1	-3.965279460E-2	1.226701736E-1	3.929119557E-2	1.347743064E-1
7.380174280E-1	-3.681012243E-2	1.082324982E-1	5.328204110E-2	1.261278505E-1
7.460434420E-1	-2.220189571E-2	1.321125031E-1	1.083276719E-1	1.722832613E-1
7.540999730E-1	-1.979907230E-2	1.440277100E-1	2.281652689E-1	2.705464367E-1
7.621565050E-1	-3.660085797E-2	1.152534485E-1	2.481828928E-1	2.760755847E-1
7.702130370E-1	-4.127587005E-2	1.343708038E-1	2.258668840E-1	2.660358240E-1
7.782695680E-1	7.817220688E-2	9.603786469E-2	3.227054328E-2	1.279670010E-1
7.863261000E-1	-2.006751299E-2	1.750268936E-1	-9.095527232E-2	1.982674460E-1
7.943826300E-1	-5.518469959E-3	1.223335266E-1	-1.450878084E-1	1.898589407E-1
8.024391620E-1	-1.752630435E-2	1.582241058E-1	-1.617000103E-1	2.269117281E-1
8.104651770E-1	3.994140401E-2	1.294708252E-1	-1.793402135E-1	2.247685977E-1
8.185217090E-1	3.264481574E-2	1.294479370E-1	-1.331310272E-1	1.885373247E-1
8.265782390E-1	-4.393237084E-2	1.222448349E-1	-1.977712065E-1	2.366163625E-1
8.346347710E-1	1.603708789E-2	1.270151138E-1	-2.199943066E-1	2.545339314E-1
8.426913030E-1	-6.265139580E-2	1.246089935E-1	-1.758912504E-1	2.244779068E-1
8.507478340E-1	-5.039528385E-2	1.509408951E-1	-1.105128136E-2	1.595147932E-1
8.587738480E-1	-2.656345069E-2	1.365842819E-1	8.312945813E-2	1.620845143E-1
8.668303800E-1	8.555983752E-2	3.605175018E-2	1.627060324E-1	1.873325051E-1
8.748869110E-1	1.451604515E-1	1.414299011E-1	1.250192672E-1	2.381255778E-1
8.829434430E-1	-1.679986119E-1	2.156915665E-1	6.672962010E-2	2.814235734E-1
8.909999750E-1	-3.128930926E-2	5.294036865E-2	1.494891644E-1	1.616437867E-1
8.990565060E-1	7.132379711E-2	1.607465744E-1	1.534784138E-1	2.334141571E-1
9.071130380E-1	4.014379159E-2	1.153259277E-1	1.853629947E-4	1.221131769E-1
9.151390520E-1	3.792363405E-2	1.321630478E-1	7.678098977E-3	1.377106620E-1
9.231955840E-1	-7.038373500E-3	9.394168854E-2	5.077769607E-2	1.070184749E-1
